part	xc7z010clg400-1
pin.GE.net	ce_IBUF
pin.GE.belpin	SLICE_X2Y25/AFF/CE
pin.GE.route_status	ROUTED
occupied.0.bel	SLICE_X2Y25/D6LUT
occupied.0.cell	g_full.g_hi[3].l
occupied.0.ref	LUT5
occupied.1.bel	SLICE_X2Y25/D5LUT
occupied.1.cell	g_full.g_lo[3].l
occupied.1.ref	LUT5
occupied.2.bel	SLICE_X2Y25/C6LUT
occupied.2.cell	g_full.g_hi[2].l
occupied.2.ref	LUT5
occupied.3.bel	SLICE_X2Y25/C5LUT
occupied.3.cell	g_full.g_lo[2].l
occupied.3.ref	LUT5
occupied.4.bel	SLICE_X2Y25/B6LUT
occupied.4.cell	g_full.g_hi[1].l
occupied.4.ref	LUT5
occupied.5.bel	SLICE_X2Y25/B5LUT
occupied.5.cell	g_full.g_lo[1].l
occupied.5.ref	LUT5
occupied.6.bel	SLICE_X2Y25/A6LUT
occupied.6.cell	g_full.g_hi[0].l
occupied.6.ref	LUT5
occupied.7.bel	SLICE_X2Y25/A5LUT
occupied.7.cell	g_full.g_lo[0].l
occupied.7.ref	LUT5
occupied.8.bel	SLICE_X2Y25/DFF
occupied.8.cell	g_full.g_store[3].g_used.g_latch.s
occupied.8.ref	LDCE
occupied.9.bel	SLICE_X2Y25/CFF
occupied.9.cell	g_full.g_store[2].g_used.g_latch.s
occupied.9.ref	LDCE
occupied.10.bel	SLICE_X2Y25/BFF
occupied.10.cell	g_full.g_store[1].g_used.g_latch.s
occupied.10.ref	LDCE
occupied.11.bel	SLICE_X2Y25/AFF
occupied.11.cell	g_full.g_store[0].g_used.g_latch.s
occupied.11.ref	LDCE
anchor.0.name	g_anchor.anchor_ff
anchor.0.ref	FDRE
anchor.0.loc	SLICE_X4Y20
anchor.0.bel	SLICEM.AFF
anchor.1.name	g_anchor.anchor_ff2
anchor.1.ref	FDRE
anchor.1.loc	SLICE_X2Y20
anchor.1.bel	SLICEL.AFF
anchor.2.name	g_anchor.anchor_lut1
anchor.2.ref	LUT6
anchor.2.loc	SLICE_X4Y20
anchor.2.bel	SLICEM.A6LUT
anchor.3.name	g_anchor.anchor_lut2
anchor.3.ref	LUT6
anchor.3.loc	SLICE_X4Y20
anchor.3.bel	SLICEM.B6LUT
net.0.name	<const0>
net.0.route_status	ROUTED
net.1.name	<const1>
net.1.route_status	ROUTED
net.2.name	anchor_o
net.2.route_status	INTRASITE
net.3.name	anchor_o2
net.3.route_status	INTRASITE
net.4.name	anchor_o2_OBUF
net.4.route_status	ROUTED
net.5.name	anchor_o_OBUF
net.5.route_status	ROUTED
net.6.name	ce
net.6.route_status	INTRASITE
net.7.name	ce_IBUF
net.7.route_status	ROUTED
net.8.name	clk
net.8.route_status	INTRASITE
net.9.name	clk_IBUF
net.9.route_status	ROUTED
net.10.name	clk_g
net.10.route_status	ROUTED
net.11.name	g_anchor.w1
net.11.route_status	ROUTED
net.12.name	g_anchor.w2
net.12.route_status	ROUTED
net.13.name	g_full.o6[1]
net.13.route_status	INTRASITE
net.14.name	g_full.o6[2]
net.14.route_status	INTRASITE
net.15.name	g_full.o6[3]
net.15.route_status	INTRASITE
net.16.name	g_full.qb[0]
net.16.route_status	ROUTED
net.17.name	g_full.qb[1]
net.17.route_status	ROUTED
net.18.name	g_full.qb[2]
net.18.route_status	ROUTED
net.19.name	g_full.qb[3]
net.19.route_status	ROUTED
net.20.name	g_full.qr1
net.20.route_status	ROUTED
net.21.name	i[0]
net.21.route_status	INTRASITE
net.22.name	i[1]
net.22.route_status	INTRASITE
net.23.name	i[2]
net.23.route_status	INTRASITE
net.24.name	i[3]
net.24.route_status	INTRASITE
net.25.name	i[4]
net.25.route_status	INTRASITE
net.26.name	i[5]
net.26.route_status	INTRASITE
net.27.name	i_IBUF[0]
net.27.route_status	ROUTED
net.28.name	i_IBUF[1]
net.28.route_status	ROUTED
net.29.name	i_IBUF[2]
net.29.route_status	ROUTED
net.30.name	i_IBUF[3]
net.30.route_status	ROUTED
net.31.name	i_IBUF[4]
net.31.route_status	ROUTED
net.32.name	i_IBUF[5]
net.32.route_status	ROUTED
net.33.name	o
net.33.route_status	INTRASITE
net.34.name	o_OBUF
net.34.route_status	ROUTED
net.35.name	q
net.35.route_status	INTRASITE
net.36.name	q_OBUF
net.36.route_status	ROUTED
net.37.name	rst
net.37.route_status	INTRASITE
net.38.name	rst_IBUF
net.38.route_status	ROUTED
